Topic,Count,theme1,theme2,Name,Representation,Representative_Docs,,,,,,,,,,,,,,,,,,,,,
0,2951,Chidrearing cost,Expense,0_If_you_have_a_child_and_the_birth_rate,"['child', 'give birth', 'give birth', 'birth rate', 'low birth rate', 'in the country', 'child', 'not give birth', 'give birth', 'money']","['If you really don't want to have children and don't have children, the economy will collapse. In the past, people had a lot of babies, so that was the problem, but if you were born, you should not have children out of gratitude to your mother', 'If you have one child, you will be given 100 million won in cash. If you have two children, the government will provide housing support and living expenses of 1 million won per month regardless of employment status. If you have three children until the child becomes an adult, even if the government provides electricity, water, phone, bus, subway, and national benefits, that would be enough to support childbirth. Direct support is the answer. There is no point in applying to universities, research institutes, and TV programs. The application is wrong from the beginning', 'Prices keep rising, wages don't, and it's hard to live, so if you have a child, you won't be able to afford it']",,,,,,,,,,,,,,,,,,,,,
1,1257,Utility,Reproduction,1_Baby food_Eating something that will swallow everything,"['baby food', 'everything', 'swallow', 'eat', 'eat', 'snack', 'tasty', 'eat', 'taste', 'whisper']","['He can't drink formula milk through his mouth yet, so I feed him formula milk by connecting it to his stomach', 'He can't drink formula milk through his mouth yet, so I feed him formula milk by connecting it to his stomach', 'He's so cute when he eats']",,,,,,,,,,,,,,,,,,,,,
2,784,,,2_funny_very funny_funny_funny,"['funny', 'very funny', 'funny', 'funny', 'when you laugh', 'while laughing', 'funny', 'funny', 'funny', 'funny', 'funny']","['This is so funny lol', 'lol it's so funny', 'lol it's so funny']",,,,,,,,,,,,,,,,,,,,,
3,906,Utility,Emotional Support,3_Pretty_Pretty_Pretty_Pretty,"['Pretty', 'Pretty', 'Pretty', 'Pretty', 'Pretty', 'Pretty', 'Pretty', 'Pretty', 'Pretty', 'Pretty', 'Pretty', 'Pretty']","['So pretty', 'So so pretty', 'Really so pretty']",,,,,,,,,,,,,,,,,,,,,
4,590,Utility,Emotional Support,4_so cute_so cute_so cute_so cute,"['so cute', 'so cute', 'so cute', 'so cute', 'so pretty', 'so cute', 'pretty', 'so pretty', 'so cute', 'small']","['So cute', 'So cute', 'So cute, really']",,,,,,,,,,,,,,,,,,,,,
5,553,Utility,Emotional Support,5_Solji_Solji_Solji_is_Solji,"['Solji', 'Soljiga', 'Solji-ni', 'Solji-ya', 'Solji-mom', 'Circle', 'Square', 'Soljido', 'Maldo', 'Happy']","['Solji is so cute', 'Solji is really cute', 'Solji']",,,,,,,,,,,,,,,,,,,,,
6,775,Population Structure,Old Age Care Demand,6_Parents give their children dreams,"['to the child', 'dream', 'parents', 'child', 'myself', 'parents', 'child is', 'child', 'child', 'to the child']","['Geumjogi's mother's childhood dream was to be a math teacher -_- Even so, it's really wrong for a mother to pass it on to her child. Forcing her child to fulfill her mother's unfulfilled dream is stressful for both the child and the mother.', 'Don't pass on your dreams to your child.', 'Should you force your dreams on your child?']",,,,,,,,,,,,,,,,,,,,,
7,558,,,7_Younghee_Youngheeyo_Youngheeyo_Younghee,"['Yeonghee', 'Yeongheeyo', 'Yeongheeyeo', 'Yeonghee', 'Yeongheeji', 'Oh Yeonghee', 'Yeongheeyong', 'Sikreoweo', 'Yeonghoe', 'Yeongheu']","['Younghee', 'Younghee', 'Younghee']",,,,,,,,,,,,,,,,,,,,,
8,629,Values,Conflict,8_Stress_Stress_I_understand_It's_Hard,"['stress', 'stress', 'I understand', 'it's hard', 'if it's hard', 'it's hard', 'life', 'fatigue', 'one day', 'it's hard']","['There are so many. Did Geumjogi want to be born? She gets help when life gets hard', 'It makes me mad to see people leaving sarcastic comments. I can confidently say that taking care of other people is the hardest thing in the world. It's also the most beautiful thing', 'Stress']",,,,,,,,,,,,,,,,,,,,,
9,611,Utility,Emotional Support,9_ㅠㅠㅠ_cuteㅠ_ㅠㅠㅠㅠ_so cute,"['ㅠㅠㅠ', 'cuteㅠ', 'ㅠㅠㅠㅠ', 'so', 'ㅠㅠㅠㅠㅠㅠㅠ', 'cute', 'cuteㅠ', 'cuteㅜㅜㅜ', 'baby', 'ㅜㅜㅜ']","['So cute ㅠㅠㅠ', 'So cute ㅠㅠㅠ', 'So cute ㅠㅠㅠ']",,,,,,,,,,,,,,,,,,,,,
10,561,Utility,Emotional Support,10_ㅠㅠ_ㅠㅜ_ㅜㅠ_ㅠㅡㅠ,"['ㅠㅠ', 'ㅠㅜ', 'ㅜㅠ', 'ㅠㅡㅠ', 'Thank youㅠ', 'Sadㅠ', 'Tears', 'Crying', 'ㅜㅜㅜ', 'This must hurtㅠ']","['I'm so grateful ㅠㅠㅠ', 'I'm so grateful ㅠㅠㅠ', 'I'm so grateful ㅠㅠㅠ']",,,,,,,,,,,,,,,,,,,,,
11,575,Values,Conflict,11_It's sad to be cursed_Sigh_It's frustrating,"['want', 'sad', 'sigh', 'stuffy', 'know', 'hate', 'stuffy', 'the sky', 'really', 'comes out']","['I was dumbfounded when they told me to do Kegel exercises, but now they're even doing this, so I can't help but swear at this government', 'I don't know how to swear, so I hold back haha', 'I don't know how to swear, so I hold back haha']",,,,,,,,,,,,,,,,,,,,,
12,697,Values,Family Diversity,12_Divorce_Divorce_Husband_Husband,"['divorce', 'divorce', 'husband', 'husband', 'divorce', 'get a divorce', 'get a divorce', 'get a divorce', 'husband is', 'husband', 'buy']","['Divorce is the answer', 'Divorce is the answer', 'Divorce is the answer']",,,,,,,,,,,,,,,,,,,,,
13,521,Utility,Reproduction,13_Jeong-i's aunt_the second is the third,"['Jeong-i-nim', 'aunt', 'second', 'third', 'second', 'Jeong-i', 'third', 'aunt', 'brother-in-law', 'same age']","['I think it means that to Jeong-i's younger siblings, she is older sister, to her daughter, she is mother, to Jeong-i's second, third, and fourth younger siblings, she is father, and to Jeong-i's younger siblings, she is brother-in-law', 'The twins are Jeong-i's younger siblings, the man is Jeong-i's husband, and the baby is Jeong-i's daughter', 'I don't know much about it, but I'll try to organize it. To Jeong-i's first siblings, she is mother to her older siblings, so she is older sister and mother. Second sibling, Jeong-i's second sibling, Third sibling, Jeong-i's third sibling, Fourth sibling, Jeong-i's fourth sibling, Jeong-i's daughter, Jeong-i's daughter, brother-in-law and father. To Jeong-i's younger siblings, she is brother-in-law, right? To Jeong-i's daughter, she is father, so is brother-in-law and father?']",,,,,,,,,,,,,,,,,,,,,
